"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.TurtleID",3,5.27560537191042,1.75853512397014,6.55599553583941,0.366475208979854,1e-04
"Bray.Residuals",34,9.11992601095165,0.268233117969166,NA,0.633524791020146,NA
"Bray.Total",37,14.3955313828621,NA,NA,1,NA
"Jacc.TurtleID",3,4.55638118999836,1.51879372999945,4.87934620399987,0.300958653550397,1e-04
"Jacc.Residuals",34,10.5831774711231,0.311269925621268,NA,0.699041346449603,NA
"Jacc.Total",37,15.1395586611215,NA,NA,1,NA
"gUni.TurtleID",3,1.22445703236262,0.408152344120874,5.56276700104797,0.329233781225156,1e-04
"gUni.Residuals",34,2.49465413480295,0.0733721804353808,NA,0.670766218774844,NA
"gUni.Total",37,3.71911116716557,NA,NA,1,NA
"uUni.TurtleID",3,2.13799233775671,0.712664112585571,4.6695019153666,0.291792163250943,1e-04
"uUni.Residuals",34,5.18911444241416,0.152621013012181,NA,0.708207836749057,NA
"uUni.Total",37,7.32710678017087,NA,NA,1,NA
"wUni.TurtleID",3,0.612084442211463,0.204028147403821,6.20791015536169,0.353903653373409,1e-04
"wUni.Residuals",34,1.11743837106575,0.0328658344431104,NA,0.646096346626591,NA
"wUni.Total",37,1.72952281327722,NA,NA,1,NA
"rAitch.TurtleID",3,68.6981408399296,22.8993802799765,24.7895354387243,0.686256000185121,1e-04
"rAitch.Residuals",34,31.4075643508416,0.923751892671812,NA,0.313743999814879,NA
"rAitch.Total",37,100.105705190771,NA,NA,1,NA
