"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"Bray.1","ID034 vs ID047",1,1.15497828536725,4.02125033332234,0.334511820469758,0.007,0.042,"."
"Bray.2","ID034 vs ID010",1,0.630989629091463,1.89703126480932,0.191676798228834,0.007,0.042,"."
"Bray.3","ID034 vs ID073",1,0.958298548291333,3.49469671586463,0.279694401179613,0.002,0.012,"."
"Bray.4","ID047 vs ID010",1,0.906883188539221,2.77033471194983,0.315875596877183,0.037,0.222,""
"Bray.5","ID047 vs ID073",1,1.14745883314284,4.53512830410766,0.393158028636118,0.01,0.06,""
"Bray.6","ID010 vs ID073",1,0.504970870038595,1.65617221818453,0.191328473653206,0.049,0.294,""
"Jacc.1","ID034 vs ID047",1,0.778780890725703,2.22888852059932,0.217901340513263,0.007,0.042,"."
"Jacc.2","ID034 vs ID010",1,0.647502217515075,1.82342005251804,0.185619676525045,0.008,0.048,"."
"Jacc.3","ID034 vs ID073",1,0.879909218987275,2.6237011881235,0.225719944590821,0.004,0.024,"."
"Jacc.4","ID047 vs ID010",1,0.717348203065777,2.0018442172744,0.250172855521582,0.025,0.15,""
"Jacc.5","ID047 vs ID073",1,0.799566176488812,2.40464646474005,0.255687066361885,0.01,0.06,""
"Jacc.6","ID010 vs ID073",1,0.62792993216545,1.85217497587658,0.209233886691577,0.006,0.036,"."
"gUni.1","ID034 vs ID047",1,0.335891026655682,4.13750204366274,0.340885795839929,0.002,0.012,"."
"gUni.2","ID034 vs ID010",1,0.159419598683729,1.7991967006979,0.183606550174645,0.039,0.234,""
"gUni.3","ID034 vs ID073",1,0.262070442836095,3.11317231523161,0.257007184758445,0.002,0.012,"."
"gUni.4","ID047 vs ID010",1,0.173203253677045,2.23217468790534,0.271152492813939,0.058,0.348,""
"gUni.5","ID047 vs ID073",1,0.199659938820174,2.71727395577862,0.279633358917778,0.021,0.126,""
"gUni.6","ID010 vs ID073",1,0.111807613987237,1.36413142952298,0.163093017011664,0.18,1,""
"uUni.1","ID034 vs ID047",1,0.351439884642524,1.94663743935002,0.195708092430202,0.009,0.054,""
"uUni.2","ID034 vs ID010",1,0.318669597665194,1.81392052290736,0.184831385038565,0.004,0.024,"."
"uUni.3","ID034 vs ID073",1,0.410467277109787,2.44038781513361,0.213313381903488,0.001,0.006,"*"
"uUni.4","ID047 vs ID010",1,0.34724998682637,1.9153961205335,0.241983609078607,0.03,0.18,""
"uUni.5","ID047 vs ID073",1,0.410213489647314,2.40070957538771,0.255375358225413,0.003,0.018,"."
"uUni.6","ID010 vs ID073",1,0.287881710911583,1.74134936769675,0.199208302339662,0.044,0.264,""
"wUni.1","ID034 vs ID047",1,0.19630201109976,5.57924475138696,0.410865615395665,0.007,0.042,"."
"wUni.2","ID034 vs ID010",1,0.0861987979024759,1.97566268119938,0.198048264495031,0.119,0.714,""
"wUni.3","ID034 vs ID073",1,0.105326379726157,2.77752063419116,0.235832372573203,0.02,0.12,""
"wUni.4","ID047 vs ID010",1,0.0770828135923307,2.67386603247298,0.308266927626347,0.062,0.372,""
"wUni.5","ID047 vs ID073",1,0.0939911483756623,3.98229377979439,0.362610385375153,0.036,0.216,""
"wUni.6","ID010 vs ID073",1,0.0390580672286651,1.17450842354104,0.143679394856169,0.306,1,""
"rAitch.1","ID034 vs ID047",1,14.6957369649868,13.8404173833012,0.633706633916407,0.009,0.054,""
"rAitch.2","ID034 vs ID010",1,7.36910566985257,5.92968844109476,0.425687083108137,0.007,0.042,"."
"rAitch.3","ID034 vs ID073",1,16.8111224646801,23.0025707189521,0.71877259239458,0.005,0.03,"."
"rAitch.4","ID047 vs ID010",1,8.83421445096458,6.31999883783934,0.512986967046478,0.029,0.174,""
"rAitch.5","ID047 vs ID073",1,16.5286102805883,23.0365562746374,0.766950647204828,0.008,0.048,"."
"rAitch.6","ID010 vs ID073",1,1.84845739063196,1.99985972457497,0.22221009946568,0.112,0.672,""
